Provider Org Name,rate_18_plus,rate_52_plus,rate_78_plus,Total
NORTHAMPTON GENERAL HOSPITAL NHS TRUST,0.40793730477572193,0.05097560513286762,7.222917197618013e-05,863.3149606299213
SHIRLEY OAKS HOSPITAL,0.26522121977843865,0.050425773496890064,0.003923814388688704,54.266666666666666
UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,0.4469675139118057,0.050059386407882045,0.0,669.1647940074906
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,0.4528469091887946,0.04962813734450927,0.0003402623130176827,429.66358595194083
OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.4310971042311713,0.04944604621373244,0.0001404870907848993,421.4973544973545
NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,0.44278339885610524,0.04939441230025423,0.0001278471906848558,454.2025316455696
UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,0.4701983121539257,0.04877034292612633,0.002592967531756419,610.8262910798122
LEWISHAM AND GREENWICH NHS TRUST,0.465460612401427,0.04845105809102489,0.0012828806667390912,878.1272727272727
EAST LANCASHIRE HOSPITALS NHS TRUST,0.46308643152527496,0.04746703601705182,0.0,664.0769230769231
UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,0.4119992957912066,0.04719851469606824,0.0003659844603540189,416.9909090909091
GORING HALL HOSPITAL,0.6000343797776102,0.04717382810919643,0.0065772669220945075,185.91666666666666
"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",0.4719264282970922,0.04680368718447192,6.445790056634136e-05,410.3
UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,0.38708161599365687,0.046651485105338286,0.00016837225746280947,672.4189723320158
MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,0.3926926172416652,0.04529010296152381,0.0,372.8146258503401
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,0.3523845607451564,0.04497282659991181,0.0018058906131510576,582.3215130023641
DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,0.44294347585087995,0.04442394701598305,0.0031266658558129446,464.5131578947368
WYE VALLEY NHS TRUST,0.3945110439939986,0.04435154306740645,0.004429816442599726,452.8734939759036
ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,0.4104907592238446,0.043927466451472455,0.000728923391792737,1171.4021739130435
THREE SHIRES HOSPITAL,0.43377605069688174,0.04357576498627256,0.0008163722834073626,342.77777777777777
UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,0.34676422378700106,0.04271373524740458,0.0,1131.1271676300578
UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,0.39526435868941795,0.042273388620728096,6.842660267312355e-05,573.5963855421687
THE ROTHERHAM NHS FOUNDATION TRUST,0.3865519794184335,0.04221478011145762,0.0,486.07602339181284
HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,0.36413301205813947,0.04212620137788062,0.000822198337921391,703.2634146341463
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,0.3729915861762702,0.04208322919183337,0.00010370738315023286,276.87704918032784
UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,0.3736425302643194,0.041849251662851174,0.00025727458944256934,1059.9485294117646
SPIRE LONDON EAST,0.5590386315715747,0.04144685112132064,0.0,208.90625
